Chemostat,Restime,RawAbsorb,Controls1,Controls2,Avg. Control1,Avg. Control2.,ModAbsorb
1,360,0.379,0.23,0.652,0.2165,0.67225,0.1625
1,360,0.364,0.192,0.701,0.2165,,0.1475
1,360,0.266,0.264,0.782,0.2165,,0.0495
1,360,0.378,0.212,0.614,0.2165,,0.1615
1,360,0.346,0.255,0.659,0.2165,,0.1295
1,360,0.462,0.183,0.63,0.2165,,0.2455
1,360,0.446,0.203,0.698,0.2165,,0.2295
1,360,0.492,0.193,0.642,0.2165,,0.2755
2,288,0.349,,,0.2165,,0.1325
2,288,0.379,,,0.2165,,0.1625
2,288,0.315,,,0.2165,,0.0985
3,240,0.347,,,0.2165,,0.1305
3,240,0.397,,,0.2165,,0.1805
3,240,0.34,,,0.2165,,0.1235
3,240,0.395,,,0.2165,,0.1785
3,240,0.452,,,0.2165,,0.2355
3,240,0.36,,,0.2165,,0.1435
3,240,0.396,,,0.2165,,0.1795
3,240,0.341,,,0.2165,,0.1245
4,38.64,0.689,,,0.2165,,0.4725
4,38.64,0.554,,,0.2165,,0.3375
4,38.64,0.593,,,0.2165,,0.3765
4,38.64,0.646,,,0.2165,,0.4295
4,38.64,0.59,,,0.2165,,0.3735
4,38.64,0.647,,,0.2165,,0.4305
4,38.64,0.537,,,0.2165,,0.3205
4,38.64,0.6,,,0.2165,,0.3835
5,14.82,0.84,,,0.2165,,0.6235
5,14.82,0.785,,,0.2165,,0.5685
5,14.82,0.688,,,0.2165,,0.4715
5,14.82,0.705,,,0.2165,,0.4885
5,14.82,0.673,,,0.2165,,0.4565
5,14.82,0.741,,,0.2165,,0.5245
5,14.82,0.731,,,0.2165,,0.5145
5,14.82,0.75,,,0.2165,,0.5335
6,7.5,0.806,,,,,0.13375
6,7.5,0.753,,,,,0.08075
6,7.5,0.701,,,,,0.02875
6,7.5,0.684,,,,,0.01175
6,7.5,0.695,,,,,0.02275
6,7.5,0.687,,,,,0.01475
6,7.5,0.703,,,,,0.03075
6,7.5,0.749,,,,,0.07675
7,3.07,0.75,,,,,0.07775
7,3.07,0.717,,,,,0.04475
7,3.07,0.664,,,,,-0.00825
7,3.07,0.592,,,,,-0.08025
7,3.07,0.6,,,,,-0.07225
7,3.07,0.621,,,,,-0.05125
7,3.07,0.662,,,,,-0.01025
7,3.07,0.74,,,,,0.06775
8,2.295,0.549,,,0.2165,,0.3325
8,2.295,0.485,,,0.2165,,0.2685
8,2.295,0.507,,,0.2165,,0.2905
8,2.295,0.461,,,0.2165,,0.2445
8,2.295,0.496,,,0.2165,,0.2795
8,2.295,0.47,,,0.2165,,0.2535
8,2.295,0.541,,,0.2165,,0.3245
8,2.295,0.566,,,0.2165,,0.3495
9,1.225,0.556,,,,,-0.11625
9,1.225,0.532,,,,,-0.14025
9,1.225,0.54,,,,,-0.13225
9,1.225,0.57,,,,,-0.10225
9,1.225,0.543,,,,,-0.12925
9,1.225,0.505,,,,,-0.16725
9,1.225,0.533,,,,,-0.13925
9,1.225,0.57,,,,,-0.10225
10,0.3916667,0.291,,,,,0.0745
10,0.3916667,0.333,,,,,0.1165
10,0.3916667,0.369,,,,,0.1525
10,0.3916667,0.295,,,,,0.0785
10,0.3916667,0.341,,,,,0.1245
10,0.3916667,0.312,,,,,0.0955
10,0.3916667,0.315,,,,,0.0985
10,0.3916667,0.269,,,,,0.0525
