,"Pyruvic Acid
Methyl Ester",Tween 40,Tween 80,"α-
Cyclodextrin",Glycogen ,D-cellobiose,α-D-Lactose,β-Methyl-DGlucoside,D-Xylose,i-Erythritol,D-Mannitol,"N-Acetyl-DGlucosamine","D-
Glucosaminic
Acid",Glucose-1- Phosphate,"D,L-α- Glycerol Phosphate",D-Galactonic Acid γ-Lactone,"D-
Galacturonic
Acid",2-Hydroxy Benzoic Acid,4-Hydroxy Benzoic Acid,γ- Hydroxybutyric Acid,Itaconic Acid,α-Ketobutyric Acid,D-Malic Acid,L-Arginine,L_Asparagine,L-Phenylalanine,L-Serine,L-Threonine,"Glycyl-LGlutamic
Acid ",Phenylethylamine,Putrescine
1_pre,0.6353333334,1.080333333,0.7083333334,0.6713333334,1.3,0.4743333334,0.3673333334,0.692,0.3066666667,0.04133333337,0.5843333334,1.053333333,0.383,0.2816666667,0.3546666667,0.8886666667,0.763,0.05333333337,0.3893333334,0.2103333334,0.2103333334,0.02300000003,0.6106666667,0.4816666667,0.5826666667,0.2543333334,0.8423333334,0.2533333334,0.47,0.3363333334,0.5166666667
1_post,0.1643333334,0.2906666667,0.1316666667,0.0076666667,0.4216666667,0.0016666667,0.0016666667,0.118,0.005333333367,0.006000000033,0.004333333367,0.111,0.0086666667,0.002333333367,0.01200000003,-0.0013333333,0.0136666667,-0.003666666633,0.1733333334,0.0296666667,0.0003333333667,0.0056666667,0.5383333334,0.2773333334,0.565,0.06333333337,0.232,0.0056666667,0.007333333367,0.003000000033,0.254
2_pre,0.3406666667,0.5336666667,0.643,0.01966666666,0.246,0.3583333333,0.4326666667,0.3466666667,0.09633333333,0.003666666663,0.3483333333,0.503,0.02333333333,0.098,0.26,0.26,0.8133333333,-0.00566666667,0.349,0.131,0.1806666667,0.04166666666,0.8733333333,0.345,0.7483333333,0.08033333333,0.2066666667,-0.002000000003,0.006666666663,0.2473333333,0.4403333333
2_post,0.1736666667,0.452,0.366,0.119,0.1526666667,0.193,0.2466666667,0.176,0.06,0.02666666667,0.2513333333,0.374,0.01366666667,0.07333333334,0.1666666667,0.222,0.3463333333,-0.004666666663,0.2113333333,0.2396666667,0.1203333333,0.01733333334,0.4813333333,0.1706666667,0.446,0.1046666667,0.1976666667,0.01066666667,0.04766666667,0.1406666667,0.232
3_pre,0.3923333333,1.188,0.5203333333,0.4886666667,1.339666667,0.6276666667,0.6463333333,0.631,0.256,0.044,0.6753333333,1.079666667,0.4096666667,0.426,0.3103333333,1.122666667,0.9276666667,0.047,0.364,0.198,0.198,0.032,0.6706666667,0.3963333333,0.6696666667,0.2476666667,0.6916666667,0.1736666667,0.416,0.115,0.3086666667
3_post,0.1416666667,0.205,0.1466666667,-0.00066666667,0.163,0.02666666666,0.03933333333,0.03666666666,0.01066666666,0.003666666663,0.05366666666,0.1263333333,0.00833333333,0.0006666666633,0.03833333333,0.029,0.04366666666,-0.01266666667,0.17,0.08533333333,-0.005000000003,0.005666666663,0.5056666667,0.2223333333,0.4513333333,0.103,0.1633333333,0.045,0.00333333333,0.1636666667,0.2173333333
4_pre,0.1,0.4446666667,0.5526666667,0.3986666667,0.6716666667,0.265,0.298,0.3,0.1366666667,-0.023,0.3153333333,0.5073333333,0.1173333333,0.1143333333,0.07133333333,0.4363333333,0.539,-0.1433333333,0.1406666667,0.008666666667,0.05733333333,-0.1196666667,0.4006666667,0.1493333333,0.318,0.04466666667,0.1463333333,-0.08133333333,0.185,0.021,0.124
4_post,0.1913333337,0.3750000003,0.3463333337,0.054666667,0.4910000003,0.144666667,0.1853333337,0.1300000003,0.047666667,-0.005666666333,0.2030000003,0.3010000003,0.01600000033,0.02333333367,0.1510000003,0.04733333367,0.322666667,-0.03499999967,0.2070000003,0.1130000003,0.07100000033,-0.01299999967,0.391666667,0.283666667,0.322666667,0.05533333367,0.398666667,-0.01199999967,0.004666667,0.1860000003,0.2630000003
5_pre,0.21,0.4386666666,0.4503333333,0.525,0.6803333333,0.3156666666,0.372,0.302,0.179,-0.0246666667,0.3593333333,0.578,0.16,0.115,0.2433333333,0.4653333333,0.4833333333,-0.1246666667,0.178,0.06099999997,0.0963333333,-0.07933333337,0.4043333333,0.2453333333,0.3643333333,0.08266666663,0.1853333333,-0.0116666667,0.2406666666,0.04099999997,0.1433333333
5_post,0.313,0.3236666667,0.3166666667,0.0986666667,1.405333333,0.3663333334,0.311,0.6296666667,0.1126666667,-0.0013333333,0.5566666667,0.6216666667,-0.0053333333,0.05833333337,0.29,0.1926666667,0.522,-0.01099999997,0.2943333334,0.09633333337,0.0656666667,-0.01266666663,0.634,0.362,0.3913333334,0.08533333337,0.334,-0.005666666633,0.04133333337,0.1876666667,0.3033333334
6_pre,0.08666666666,0.429,0.3356666667,0.4196666667,0.699,0.242,0.342,0.2473333333,0.1116666667,-0.1173333333,0.2953333333,0.4636666667,0.098,0.048,0.233,0.415,0.3463333333,-0.1796666667,0.119,0.06566666666,0.05566666666,-0.1246666667,0.3646666667,0.1183333333,0.32,0.028,0.1536666667,-0.032,0.1966666667,0.02266666666,0.144
6_post,0.2583333333,0.357,0.3436666667,0.2376666667,0.8883333333,0.2283333333,0.1306666667,0.15,0.096,-0.00733333333,0.222,0.3563333333,0.036,0.07966666667,0.2276666667,0.054,0.4503333333,-0.039,0.3073333333,0.09766666667,0.109,0.04333333334,0.7953333333,0.2863333333,0.4586666667,0.02666666667,0.263,0.01566666667,0.08733333334,0.1756666667,0.3206666667
7_pre,0.147666667,0.449666667,0.693666667,0.526666667,0.7573333337,0.285666667,0.3060000003,0.2740000003,0.1680000003,-0.04599999967,0.346666667,0.5853333337,0.143666667,0.08800000033,0.312666667,0.352666667,0.4223333337,-0.06866666633,0.2323333337,0.1130000003,0.1170000003,-0.08766666633,0.484666667,0.202666667,0.4213333337,0.2223333337,0.1970000003,-0.01999999967,0.255666667,0.06233333367,0.2080000003
7_post,0.4446666667,0.3750000003,0.4386666666,0.3236666667,0.429,0.357,0.449666667,0.1993333334,0.0356666667,0.0096666667,0.322,0.4126666667,0.0346666667,0.103,0.1653333334,0.09500000003,0.3673333334,-0.02766666663,0.2653333334,0.08700000003,0.08733333337,0.0003333333667,0.4006666667,-0.002000000003,0.01066666667,0.1736666667,0.045,-0.08133333333,-0.01199999967,-0.0116666667,-0.005666666633
8_pre,0.2913333333,0.4546666666,0.4166666666,0.0303333333,0.4263333333,0.154,0.194,0.2426666666,0.06866666663,0.0073333333,0.2103333333,0.2133333333,0.03166666663,0.0093333333,0.06266666663,0.3013333333,0.499,-0.0086666667,0.4016666666,0.1036666666,0.32,0.126,0.6266666666,0.3163333333,0.6273333333,0.1473333333,0.251,0.006666666633,0.01699999997,0.2856666666,0.3983333333
8_post,0.314,0.4046666667,0.5113333333,0.09733333333,0.9273333333,0.5206666667,0.5626666667,0.7093333333,0.2683333333,0.034,0.476,0.9016666667,0.1116666667,0.1916666667,0.4016666667,0.09433333333,0.9013333333,-0.006333333333,0.3053333333,0.086,0.1506666667,0.03766666667,0.6613333333,0.4113333333,0.5316666667,0.2543333333,0.4023333333,0.06466666667,0.2133333333,0.02833333333,0.3543333333
9_pre,0.019,0.2543333333,0.3553333333,0.3416666667,0.652,0.185,0.2773333333,0.2643333333,0.02966666667,-0.1356666667,0.2503333333,0.4823333333,0.073,0.06733333333,0.04533333333,0.4056666667,0.442,-0.2643333333,0.05566666667,-0.01166666667,0.02566666667,-0.2026666667,0.3273333333,0.09366666667,0.249,0.006,0.06233333333,-0.08533333333,0.1626666667,-0.061,0.062
9_post,0.429,0.357,0.449666667,0.3750000003,0.4546666666,0.4046666667,0.2543333333,0.182,0.1153333333,-0.03133333337,0.2226666666,0.2853333333,0.006999999967,0.1473333333,0.133,0.2416666666,0.324,-0.07900000003,0.262,0.05466666663,0.1343333333,0.1536666666,0.7083333333,0.2833333333,0.6186666666,0.04499999997,0.2396666666,-0.0216666667,0.0963333333,0.149,0.2616666666
