Chemostat,Residence Time (hrs),Transect,DAPI Count,Cell_ml,SYTOX Count,CTC Count,% Active,% Dead,% Dormant
1,360,1,2,57.77777778,1,0,0,50,100
1,360,2,2,57.77777778,1,1,50,50,50
1,360,3,7,202.2222222,2,4,57.14285714,28.57142857,42.85714286
1,360,4,8,231.1111111,4,4,50,50,50
1,360,5,3,86.66666667,1,1,33.33333333,33.33333333,66.66666667
1,360,6,5,144.4444444,4,4,80,80,20
1,360,7,4,115.5555556,2,0,0,50,100
1,360,8,7,202.2222222,4,3,42.85714286,57.14285714,57.14285714
1,360,9,15,433.3333333,3,5,33.33333333,20,66.66666667
1,360,10,2,57.77777778,0,0,0,0,100
2,288,1,3,86.66666667,2,1,33.33333333,66.66666667,66.66666667
2,288,2,3,86.66666667,2,2,66.66666667,66.66666667,33.33333333
2,288,3,17,491.1111111,6,3,17.64705882,35.29411765,82.35294118
2,288,4,8,231.1111111,5,4,50,62.5,50
2,288,5,9,260,4,4,44.44444444,44.44444444,55.55555556
2,288,6,17,491.1111111,9,10,58.82352941,52.94117647,41.17647059
2,288,7,15,433.3333333,6,11,73.33333333,40,26.66666667
2,288,8,11,317.7777778,6,5,45.45454545,54.54545455,54.54545455
2,288,9,9,260,4,6,66.66666667,44.44444444,33.33333333
2,288,10,18,520,9,8,44.44444444,50,55.55555556
3,240,1,4,115.5555556,3,0,0,75,100
3,240,2,9,260,2,2,22.22222222,22.22222222,77.77777778
3,240,3,6,173.3333333,5,4,66.66666667,83.33333333,33.33333333
3,240,4,9,260,2,2,22.22222222,22.22222222,77.77777778
3,240,5,10,288.8888889,1,1,10,10,90
3,240,6,21,606.6666667,0,0,0,0,100
3,240,7,6,173.3333333,2,1,16.66666667,33.33333333,83.33333333
3,240,8,6,173.3333333,4,2,33.33333333,66.66666667,66.66666667
3,240,9,11,317.7777778,7,2,18.18181818,63.63636364,81.81818182
3,240,10,6,173.3333333,3,3,50,50,50
4,38.64,1,7,202.2222222,4,3,42.85714286,57.14285714,57.14285714
4,38.64,2,24,693.3333333,10,10,41.66666667,41.66666667,58.33333333
4,38.64,3,11,317.7777778,7,8,72.72727273,63.63636364,27.27272727
4,38.64,4,11,317.7777778,6,4,36.36363636,54.54545455,63.63636364
4,38.64,5,26,751.1111111,10,11,42.30769231,38.46153846,57.69230769
4,38.64,6,16,462.2222222,7,6,37.5,43.75,62.5
4,38.64,7,17,491.1111111,14,12,70.58823529,82.35294118,29.41176471
4,38.64,8,23,664.4444444,13,10,43.47826087,56.52173913,56.52173913
4,38.64,9,33,953.3333333,19,17,51.51515152,57.57575758,48.48484848
4,38.64,10,16,462.2222222,11,10,62.5,68.75,37.5
5,14.82,1,4,115.5555556,1,1,25,25,75
5,14.82,2,15,433.3333333,3,2,13.33333333,20,86.66666667
5,14.82,3,7,202.2222222,5,4,57.14285714,71.42857143,42.85714286
5,14.82,4,13,375.5555556,4,3,23.07692308,30.76923077,76.92307692
5,14.82,5,10,288.8888889,7,7,70,70,30
5,14.82,6,8,231.1111111,4,3,37.5,50,62.5
